"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"RAIPHFN5SMZ5Y",5,23,28,"N","Y"
"R16MGI1ZR424T8",5,87,87,"N","Y"
"R35GOR4D7PAY5F",2,26,27,"N","N"
"R1RYOEHOYD0UAA",4,47,53,"N","Y"
"R37E7L6OMJ3JYD",5,38,39,"N","N"
"R3F5KEBEP18USR",5,42,42,"N","N"
"R1ASIODWWU9YJG",1,33,39,"N","Y"
"R2RS8H5RTQMZBA",5,166,174,"N","N"
"R19EWQOX8GXV5O",5,57,61,"N","Y"
"R34J6RFKCN27XG",4,57,61,"N","N"
"RD28MLU016TD7",5,164,184,"N","Y"
"R3RSRLMA6XKUJB",5,209,217,"N","Y"
"R279H9EK2DQDWH",3,23,31,"N","N"
"R3IOGNBDTNEL31",5,52,57,"N","N"
"R264YY1I0ZR36S",5,41,48,"N","Y"
"R1K48H8L1H7E0L",4,55,60,"N","N"
"R2O000F77S3PZZ",5,27,29,"N","Y"
"R182WDBGQBFAH9",1,19,26,"N","Y"
"RN91AFMNDSPG5",4,28,28,"N","Y"
"R2X7ZXPSXMEBG2",1,39,52,"N","Y"
"R2SZE9AYBLOOU1",1,89,96,"N","Y"
"R3VZSZFAJOD3XP",4,34,35,"N","Y"
"R3CZ6B295NRGN1",1,21,24,"N","Y"
"RR51GCOSA3TOI",3,139,156,"N","N"
"R18YXL5SCJK2DV",4,60,61,"N","Y"
"RDL4VZA8YB9TA",5,23,26,"N","Y"
"RD8WWKDEKI2HF",1,35,36,"N","Y"
"R1V7IJCJYOPC0H",4,17,23,"N","Y"
"R1F2SE6NBJOX45",3,19,33,"N","Y"
"R1JWVGUIWKWSZ6",1,32,33,"N","N"
"R26UTVYGK6M5LG",3,21,24,"N","Y"
"R27HCPTPNYHO01",1,19,21,"N","N"
"RP24M37L7BGLL",5,20,23,"N","N"
"R20VPXP5LJK3IK",5,82,82,"N","Y"
"R1D0UORF7E99CP",5,16,22,"N","N"
"R186POSPHHUYME",2,78,80,"N","Y"
"R23B4A1HURZ2VG",5,265,271,"N","Y"
"R2GDETO0XP4C0F",5,43,43,"N","N"
"R1O5F702RFTFGE",5,20,22,"N","Y"
"R1KEUFTGUWR0X8",4,37,40,"N","N"
"R2WBKTU6I15XHM",5,18,22,"N","N"
"RHOM5QT9YEMSQ",1,50,58,"N","Y"
"R2B6OGEUWW6BW2",5,23,26,"N","N"
"R1VBHUCOPLP02D",5,21,24,"N","N"
"R11K80N1R62CR8",5,35,45,"N","Y"
"R2GWJRB2DMHULD",5,47,50,"N","Y"
"RJ456YM7OGVRV",4,31,36,"N","N"
"R4JK26PVWURC3",5,43,48,"N","Y"
"RDOCD6KGG15UM",1,24,25,"N","Y"
"R1S5P3BDBQDVO8",5,22,26,"N","Y"
"R1Q5D2ADCOKNBS",5,21,22,"N","Y"
"R2QIBHT2AHYEZ8",5,20,21,"N","N"
"R32IS68HYONTN5",1,18,27,"N","Y"
"R309UP1QQ6P1RO",5,33,34,"N","Y"
"R1QU49SMWPB6IH",4,26,28,"N","Y"
"R31OT9AQKNRR7H",5,67,69,"N","Y"
"R2CK66FGXIHD4J",5,25,29,"N","N"
"R2AYPD56AL784Y",5,126,132,"N","N"
"R2TKC4BUOWHX7P",3,27,35,"N","Y"
"R12J3JPS182SL6",5,20,22,"N","Y"
"RSB934ZYX6XGS",4,26,29,"N","Y"
"R834TDRLMQX6J",5,32,33,"N","Y"
"R3IX19F4FSDB5W",1,68,85,"N","Y"
"RIQLEH2SDROS0",5,36,41,"N","N"
"R4XLMKNRRJD1T",5,170,208,"N","N"
"R1CBB5SWWTC4CA",4,58,64,"N","Y"
"R20NYLZJGKWVKH",4,17,21,"N","Y"
"R20J2J8HXO10PQ",5,45,52,"N","Y"
"R6ISRBK3CJ5VW",4,41,41,"N","N"
"R3RE6OBN1F715V",5,251,273,"N","Y"
"R3A1GB1IZT2IME",5,37,39,"N","Y"
"R2YNJOWIWBFCGP",5,70,72,"N","Y"
"R3O8PMCTS0KS50",1,27,36,"N","Y"
"R2LTOA2DYSBL0K",3,57,59,"N","Y"
"R14ON30BCXJ60K",1,20,25,"N","N"
"R2GB14AYF8A2TA",5,25,28,"N","Y"
"R14TIIU3FUT4CM",5,22,22,"N","Y"
"R2V18SCKWK1M0L",5,27,30,"N","N"
"R1B2AYXCPZ5AL2",5,145,160,"N","Y"
"R2ZR2SW07UVYPC",4,46,49,"N","N"
"RX23GNI90AGV",5,19,23,"N","N"
"RUF4HPO7SFLKL",5,20,21,"N","Y"
"R36MY7GC9KW0UC",5,121,124,"N","N"
"R6N10SSNZT5O9",3,24,27,"N","Y"
"R29FKRPPNEQSN",4,23,26,"N","Y"
"R1RB894X6ILV2U",3,57,69,"N","Y"
"R7JYHT0IM1VQM",5,34,34,"N","N"
"R39ODP3XLQXT01",5,19,23,"N","Y"
"RFU30E89ZUSA2",5,31,31,"N","Y"
"R3K223T8364LCF",5,20,24,"N","Y"
"RKK0AR8ACMJKQ",5,26,27,"N","N"
"R1BYN1TA29E8KO",2,90,99,"N","Y"
"R18EM1Z44VK5E1",5,79,82,"N","Y"
"R30RE35AWDMBDE",1,20,23,"N","N"
"R3XD2QRRR1J29",4,146,161,"N","Y"
"RBZRK0PHZRAQ",4,26,40,"N","Y"
"R3QOTRTTG7E4OR",5,21,24,"N","Y"
"R17XBH01U9MK7O",5,26,27,"N","Y"
"RELKEJQBMFF3E",5,21,25,"N","Y"
"R18UYH1UZ43DHE",5,18,21,"N","N"
"R1GR88H8AVDCRR",1,40,42,"N","Y"
"R1DL3RUCGEPUUI",5,28,29,"N","Y"
"RAX3414H6JO06",5,42,43,"N","N"
"R2SHEDBXYDKDJE",5,46,62,"N","Y"
"REY6LP5M52AKG",4,20,34,"N","Y"
"R142X7CGTDRH7P",4,20,22,"N","Y"
"R2IMPRPA2YTEA2",4,88,94,"N","N"
"R1TRCAKYZQ2UN5",1,20,25,"N","Y"
"RAUPKT36S873L",4,124,131,"N","Y"
"R2P0WKURJ0HP72",5,21,22,"N","Y"
"R7C6XE1TR329L",1,22,22,"N","Y"
"R5A73WHOWI9F8",5,33,36,"N","Y"
"R1RVYDHGQ741EH",5,30,35,"N","Y"
"R3R5DLKGOFNYKZ",1,25,41,"N","Y"
"R2XE29E9XNOIRJ",4,82,87,"N","N"
"R2065KSK86DZY2",5,89,96,"N","N"
"R3CPNCQPRWRK5N",5,74,81,"N","Y"
"R15L6UZ5KPHW2R",4,49,50,"N","Y"
"RGC5ZPH5ZLC6B",5,56,61,"N","Y"
"RANOFD8B4ZK7E",5,29,30,"N","N"
"RUW0Y7IMNHJFF",5,61,67,"N","Y"
"R136CAW9F7IVD7",1,25,29,"N","Y"
"R15ZHR1WYL32E4",5,18,21,"N","Y"
"R11FV5AO4LZH3V",5,29,30,"N","Y"
"R1TRHVA7ZJOSS1",5,42,42,"N","N"
"R1HE3IBJONTKYL",2,22,32,"N","Y"
"R1GFXSWHQCKA7R",4,27,28,"N","Y"
"R3KAOYGVGYI1VK",4,210,227,"N","N"
"R3E40IN4U8QMBI",5,35,37,"N","Y"
"RH97EMC87TR2D",5,36,39,"N","N"
"RBT2MO49JXS1N",5,53,58,"N","Y"
"R2IZA2G3NTSMRA",5,23,26,"N","N"
"R11047PDF26RKC",5,21,25,"N","N"
"R302ES0LTM0GKU",5,40,41,"N","N"
"R1APMALAWXLOPP",5,32,33,"N","Y"
"R22H5K8XGSSJ67",2,18,27,"N","Y"
"R2KXVYDIS7MILU",5,29,30,"N","Y"
"R19QOOOOKVJ4OO",5,19,21,"N","Y"
"R2VCKHJI40CUGX",5,765,778,"N","Y"
"RR3MGAPRLUUIY",5,39,42,"N","Y"
"R372OUWVMWBMUA",5,56,57,"N","N"
"R2QTZQD889ZL6Z",5,23,26,"N","Y"
"RJZU5U0BVAVKL",5,45,46,"N","Y"
"R2FH3RA1QPUCGW",1,24,24,"N","Y"
"RKHXRDWXDGEK1",5,22,23,"N","Y"
"RSH12NAORXKSC",5,21,22,"N","Y"
"R3CP76AMJZSLWA",1,33,34,"N","N"
"RBRXAECBHT7OX",1,23,27,"N","Y"
"R5MIMEODI7DCA",5,34,38,"N","Y"
"R1XOKI3GR0Z8U8",1,25,31,"N","Y"
"R3H4GM55Q6RW1K",5,37,38,"N","Y"
"R27HNUFV0TY9K1",5,23,24,"N","Y"
"R2Q4XVSJX50USA",5,59,60,"N","Y"
"RG7FUE70MX33E",5,31,33,"N","N"
"R292UIF0OD1O6A",1,24,28,"N","Y"
"R17F1BHFJPS3C9",2,54,74,"N","N"
"RI3YAD9C7IP8M",5,24,24,"N","N"
"R38RRAKQRBND6F",4,31,34,"N","Y"
"R2Z7X28O51VGZT",5,32,35,"N","Y"
"R1EVXC05KF0C7F",5,34,37,"N","Y"
"R37MZAH48FL9RH",4,25,26,"N","N"
"R2AGO9PNQ4PTZO",5,55,57,"N","Y"
"R2J9OM0XD6F7C6",1,20,28,"N","Y"
"R2P8JQ99AWU2BW",3,28,32,"N","Y"
"R1020MYZ7IEHCH",1,15,21,"N","Y"
"R1XACUU9M8CPH8",5,33,33,"N","Y"
"RK7RIFFU9S0I6",3,23,26,"N","N"
"R3VDFZ5SUEGW3O",1,29,37,"N","Y"
"RTGVMDLW8V6Z7",1,198,208,"N","Y"
"R30312YKNTJDOB",5,31,35,"N","N"
"R361MWEJRQ97PI",1,19,23,"N","Y"
"R25L5KIR5LYN2C",5,34,37,"N","Y"
"R2ULN1HJIFCNXV",5,27,27,"N","Y"
"R1F3GHILDJLYW0",3,24,26,"N","Y"
"R2MSA8LJQJHAWK",2,33,34,"N","Y"
"RX4YI8KPO8EUW",1,28,37,"N","Y"
"R3V9SNZ6MVVKCG",5,24,26,"N","Y"
"RB3IWZIG9ZHSW",5,27,28,"N","Y"
"R2KCQZO46U65VG",3,80,84,"N","Y"
"R1TSN6MZ1R05W3",5,42,42,"N","N"
"RH1M9FC8M61GP",4,38,38,"N","Y"
"R3VT51DFMP2ZKR",5,49,49,"N","Y"
"R3FTHOZGRVN3M0",5,109,121,"N","Y"
"R2OBAJTFK79NIV",4,84,89,"N","N"
"R3DLBIFPXJEKU1",2,36,54,"N","Y"
"R2DZ8DC3B3JWHH",1,527,546,"N","Y"
"R32YYX1KNWCL1U",1,27,34,"N","Y"
"R1PGMJQUQL5345",5,49,51,"N","Y"
"R3JUYD7O7XNX2A",4,51,52,"N","Y"
"R31WCHQVHWSQME",5,22,23,"N","Y"
"R3T72OTCE3YGW5",5,35,36,"N","Y"
"R1MPYO8T1SMMIZ",5,35,41,"N","N"
"R38U95ERONH0AG",1,30,33,"N","Y"
"R164HY7ZDJKK9V",1,12,21,"N","Y"
"R3DI496RWDAW0N",5,26,26,"N","Y"
"R3S6R6169G8V51",5,39,41,"N","Y"
"R17NQKB65OFERZ",1,45,49,"N","Y"
"R2NWVMSSYKOPZL",1,46,49,"N","Y"
"ROAJAK3P53B4U",5,20,25,"N","Y"
"RAE2X36IKAKW0",5,48,49,"N","Y"
"R3D45I89A3V95X",3,52,65,"N","N"
"R1DPQZ4BDXHNU6",5,27,28,"N","Y"
"R2KTWYHQ781ADB",3,108,114,"N","Y"
"R2LFH7HVEOAIFT",5,22,22,"N","Y"
"R10XRAOBFFSTL2",5,44,47,"Y","N"
"R2JB1DYRI3PK3X",5,20,22,"N","N"
"R240Y15ST8LXUV",5,44,45,"N","Y"
"R2V1924UGHCX4W",5,34,42,"N","Y"
"R1G4WB086BACPC",5,26,27,"N","N"
"R156U2ZH5UV4JN",1,19,25,"N","N"
"R1ETACHVD2VJUK",5,22,23,"N","N"
"RH0VIPDJT663K",5,33,34,"N","Y"
"R2BQMPGZCZL3N7",4,52,58,"N","Y"
"R1OQEPVAPSH7S4",5,21,24,"N","Y"
"RU7E7YN5K5MZD",4,29,33,"N","Y"
"R1C9K9SS64BR4T",1,65,75,"N","Y"
"R1X8F3R1K1SF5",2,30,31,"Y","N"
"R17FTK99NM1T0P",4,19,21,"N","N"
"R3GGDSJSY87GAT",1,12,21,"N","N"
"RV4CHDJWSM89Y",5,28,28,"N","Y"
"R2LS1W3KTR6YKF",5,328,347,"N","N"
"RRGSU6ZSLZ8WY",4,39,39,"N","Y"
"RXYKQ119W2IUQ",5,52,58,"N","Y"
"RFVRJ3DQKXH0S",2,90,100,"N","N"
"R24ZGOXSGWSLCB",5,24,27,"N","N"
"R3F368LQTRXMQY",5,22,25,"N","Y"
"R2BP9D7GKHAMKU",5,28,34,"N","Y"
"R14GO5NC9RA41C",5,42,44,"N","Y"
"R1T49WHM47OL28",5,94,97,"N","Y"
"R36KUUFFXYXVEA",2,24,25,"N","Y"
"R3D2JMN1HFPIJ3",1,33,36,"N","N"
"R2MCVNUJ14K4IR",1,82,89,"N","Y"
"R152IJ383FRHRX",5,28,28,"N","Y"
"R2DHLGA43JZCG3",1,28,36,"N","Y"
"R2OJGKEMDASQ8",5,71,74,"N","N"
"RNMTR8UGZNGIX",5,92,96,"N","N"
"RIW03B78LVB52",5,23,23,"N","Y"
"RRBVETDU26VRS",5,31,34,"N","Y"
"RS4VCRK499V4V",1,20,21,"N","Y"
"R39SDYX4UDT5AS",1,50,65,"N","N"
"R3V8ZNQYD96EXT",5,25,27,"N","Y"
"R1XCRI2XJNEP93",5,28,29,"N","N"
"R3L2251FA1LPXU",1,18,22,"N","Y"
"R2NK4YGBF8D9UJ",3,18,21,"N","Y"
"R2GHOGVBU7OGLK",4,85,90,"N","Y"
"R2Z1D59Q6NGFYN",2,42,54,"N","Y"
"RR1PPB68E07LG",4,85,85,"N","Y"
"R1B9IA0L4LX5LW",2,19,33,"N","Y"
"R3ACTEL28JRZP0",5,28,28,"N","N"
"R3IM0AZ5DZ8N1A",5,21,27,"N","N"
"R5RZJW9TDDHVP",1,15,26,"N","Y"
"R1ZKL8IY3K8FDY",4,30,35,"N","N"
"R2I94IA0SFU4BM",1,232,243,"N","N"
"RIIO69I64HLRA",1,38,54,"N","Y"
"R3K14QRKFGWTGK",2,44,66,"N","Y"
"RQ2M2KQLRQ506",3,51,68,"N","N"
"R3DFO1C9T6JAM7",1,24,25,"N","Y"
"R675GDBRE9M4C",1,23,26,"N","Y"
"RELH6K475O3XD",5,21,21,"N","Y"
"R1EKD9QOZMDV4H",3,26,29,"N","N"
"R3JTDKFRSWL287",4,610,620,"N","Y"
"R2RP85AS82JM7I",5,124,126,"N","N"
"R17O3GQ2V9AF63",5,22,29,"N","Y"
"R10O1QGA3XLLC3",5,30,30,"N","Y"
"R3FMKQEVSESFKV",5,38,38,"N","Y"
"R2REMZQ8PB7H2D",4,29,29,"N","Y"
"R175PJHAOU6N2V",4,215,216,"N","Y"
"RGEH8GZ1ULUBF",5,27,29,"N","Y"
"R3VT315LTENRFI",5,102,103,"N","Y"
"R31A5D66FTT3AT",2,34,62,"N","N"
"R2K09HZB806HA6",3,18,21,"N","Y"
"R2AI1IBKN6D3WN",5,19,21,"N","Y"
"R21N3G4EG0R5SA",5,132,134,"N","Y"
"R22H7EE4G7W85B",1,19,23,"N","Y"
"RV466F80NBMDS",5,21,24,"N","Y"
"R2XBGQ30TCS5AC",5,26,27,"N","Y"
"R11ZNCCA9UPOUP",2,18,33,"N","Y"
"R10LPPVZO083L9",5,28,29,"N","Y"
"R2LV1BAQJE9C80",3,45,47,"N","Y"
"R323TAEC79CEMG",5,61,66,"N","N"
"R2URW8VZZHM6PE",5,203,216,"N","Y"
"R1EELSI0ERA0R2",1,26,31,"N","Y"
"R367EOEQJG61UW",4,28,28,"N","Y"
"RWN28IRAA9LCZ",5,70,81,"N","Y"
"R2URTBNC4Z2099",2,15,23,"N","Y"
"R217WQIUAGTDIS",5,45,51,"N","Y"
"R1Z9QG6LH64IC5",3,29,32,"N","N"
"R388ZA63QT1NR9",5,29,30,"N","Y"
"RFY1G1FBVHQVS",5,123,126,"N","Y"
"R3RNZWUVUC234I",5,81,86,"N","Y"
"R2RAHL8487QGE3",4,26,26,"N","Y"
"R1EJ6QA17S145M",3,21,32,"N","Y"
"RIQKAEPQ29I8N",5,55,55,"N","Y"
"R1QTN1DEE20GGO",1,40,46,"N","Y"
"RAIXJLBIIFINN",5,43,43,"N","N"
"R31BTZPCT0F7VD",1,84,96,"N","Y"
"R1SMJH2KGB9YE2",1,87,98,"N","Y"
"R3DKUBP2LQMOBF",1,21,28,"N","N"
"R1GMTVSUF5BHT5",5,24,25,"N","N"
"R20VSY8Y6ZBLLF",5,27,29,"N","N"
"R202MUGKJNWZZC",1,37,41,"N","Y"
"R2L11102PFJSKR",5,36,40,"N","N"
"RC8CHGGH26O5X",5,26,26,"N","Y"
"RV761G393F8IA",4,51,58,"N","N"
"R3JM8S0DTF5IGG",5,23,24,"N","Y"
"RZKIBG07EKTOW",5,26,30,"N","N"
"R4S16KY7A6FZA",5,64,66,"N","Y"
"R2US6JNHYI6PSI",5,27,41,"N","N"
"R1SXY74DDJHTDM",5,11,22,"N","N"
"R1XWGY7IAH91LZ",5,57,62,"N","Y"
"R265V9NM6NCHGE",5,33,34,"N","Y"
"R2HSWAKZAB5GX0",5,38,39,"N","Y"
"RRUSPP7K7FIJA",5,32,34,"N","Y"
"R3QJ5WA386LQ79",3,144,154,"N","Y"
"R2T4TVUWA7BIVP",1,22,25,"N","Y"
"R184KUVA52JGX4",5,29,34,"N","N"
"R22TAHF8DUILQ6",5,29,30,"N","Y"
"RRXPPBXX8SSUS",5,39,40,"N","Y"
"R3MLTVF5R3Y09H",4,23,23,"N","Y"
"R24P5E1576CFSG",5,19,21,"N","Y"
"RR967X94H9RJO",4,29,29,"N","Y"
"R2UAGP3Y5I9OQ2",5,37,45,"N","N"
"R20FJAQAI0L8Z7",5,43,55,"N","Y"
"RR2KUFIQGXNAG",5,81,81,"N","Y"
"RG9QIEPUE4PD4",1,23,28,"N","Y"
"R1SFCAOWA9QT0M",1,89,110,"N","N"
"R2E2OOVCLOUT2T",2,35,43,"N","Y"
"R3EB38ZEM1UVE5",5,265,287,"N","N"
"R1HGIV11E2HZCX",1,41,53,"N","Y"
"R233NDN84IERAW",5,21,23,"N","N"
"R33F31HM00EVI2",3,15,21,"N","Y"
"R1ZXJA8DECRHI8",4,32,32,"N","Y"
"R8PBF68I7XKKX",1,114,127,"N","Y"
"RUXB0B59B39YK",5,51,51,"N","Y"
"RBL6WKID80WIW",5,20,21,"N","Y"
"R3EQ7DWDZ69XOL",4,30,30,"N","N"
"R1NHG2X7JO4L0U",5,42,42,"N","N"
"R161JAKR01DBU7",4,40,49,"N","Y"
"R2YYPEGWB4ITXY",5,26,27,"N","Y"
"R1AT1TI7ZD0RZP",1,16,25,"N","Y"
"R2JVCQ6H6AE90B",5,17,23,"N","N"
"RNN0CU5NB2RAS",1,19,27,"N","Y"
"RBA6IBY5IZC59",5,98,108,"N","Y"
"R1G28Y59N14P8R",5,20,22,"N","Y"
"R25AZ8OR5GQG9B",5,41,43,"N","N"
"RJK86C4X3UKUL",1,28,44,"N","N"
"RFDJXE1CLJVO9",5,35,35,"N","N"
"R2R9EZWK0NDOYX",4,20,22,"N","Y"
"R1GKN97KWQBY26",2,36,44,"N","Y"
"RY724W3861MCX",5,39,41,"N","N"
"RYTHI9F85PGV7",5,21,22,"N","Y"
"R1OV137U6AMB70",5,46,66,"N","Y"
"RP2TDQDJ3PO2R",5,44,46,"N","Y"
"R1UZQI0HOQKPWC",2,52,53,"N","Y"
"R3OEHCW9CA1P7D",1,34,44,"N","Y"
"R5D0VN6L92A9A",5,36,44,"N","Y"
"R2S3QZ4JWTJH5B",5,28,30,"N","Y"
"R1BUS19H0O3VE6",4,132,141,"N","Y"
"RUDJQ6HU3V119",5,63,83,"N","Y"
"R3BVA80JI994VD",5,34,35,"N","N"
"RPPFK042BOI1C",3,61,65,"N","Y"
"R2UD5YV91F9L9D",4,19,22,"N","N"
"R2N5X0CO98QABW",3,18,23,"N","Y"
"RN2VZJXG7C6TJ",5,40,44,"N","Y"
"R2LLS55LAT7W4H",5,39,40,"N","Y"
"RV8IL0RWYPCRE",1,19,30,"N","Y"
"RFS8W1EEP9PZW",3,31,36,"N","Y"
"R32H0E52RW4RHD",5,29,30,"N","N"
"R39PDSMQ3UBJV5",4,23,23,"N","Y"
"R2A66ZZ6B2H7H2",5,20,25,"N","N"
"R39M9XFXTE19OH",4,31,38,"N","N"
"R2RTDG7ED2NHEJ",5,30,30,"N","Y"
"R1Z0NDAL1D20GT",5,21,26,"N","N"
"R23CYUR4A6K1MD",5,23,24,"N","Y"
"RXM54XM3GL0O",1,24,27,"N","Y"
"R11LFJ4BZ16Y5E",1,122,132,"N","Y"
"R32Y3JYE4R8AB0",5,22,23,"N","Y"
"R163C4OJ3SOUJF",5,25,26,"N","Y"
"RERNQM1TH05YT",5,28,29,"N","N"
"R119F9CIROT63U",2,25,25,"N","Y"
"R2CT0Z3BMTXL9X",4,24,25,"N","N"
"R1QF1EI9Y2BPDQ",1,24,31,"N","N"
"RN5DADVAE4XSX",5,130,134,"N","N"
"RYC7SSHPL9YPF",5,27,28,"N","Y"
"R2MZPMMHRA9CRU",3,35,55,"N","Y"
"RMEAJDPGZJT9O",4,33,35,"N","Y"
"RD96RVZ7JEPJD",3,20,23,"N","Y"
"RLI9HZZ478ZON",5,22,22,"N","N"
"R27Q4T4PQCPQJU",5,20,22,"N","N"
"R23ABY8JBSZD2H",4,24,26,"N","Y"
"R1OAH8SM0OSVV1",1,28,31,"N","Y"
"R2UDUCPR15WU5X",2,24,28,"N","Y"
"R1IXIM0GFOQHWP",5,43,45,"N","Y"
"R1ONCT9Q342V6N",5,110,117,"N","Y"
"R3MZH45UH02C2D",5,20,21,"N","Y"
"R1KOQ8H5H58SLH",5,83,100,"N","Y"
"R3KB7ZXQHDVNGN",3,138,168,"N","Y"
"R29V4TED587HHL",5,25,27,"N","Y"
"R2D0KD86057U1C",5,29,31,"N","Y"
"R1EF8W3ALHART0",1,170,192,"N","Y"
"R15H3CCD03242S",1,20,34,"N","N"
"R3C191379AFEEV",1,17,23,"N","Y"
"R30WKRU9P23DGP",2,40,43,"N","Y"
"R2TRZEXZZZ6AAJ",1,55,65,"N","N"
"R1IHVJYBEVY6MI",5,21,23,"N","Y"
"R2JJ82R71HFDRD",3,26,30,"N","Y"
"RIJJM1ZC5EKXN",5,70,76,"N","Y"
"R2ORPGIPWQU3OG",5,20,21,"N","Y"
"R21QKVQRS7E90E",5,19,22,"N","Y"
"RQHC9BKHXEWDU",3,24,26,"N","Y"
"R1EBFGCUEZQU14",5,21,21,"N","Y"
"RBD3C6SPCINUX",4,62,62,"N","Y"
"R3L5QOOHZJI8N1",1,18,22,"N","Y"
"R1C1M79D12CD0C",5,130,133,"N","Y"
"R214TIZ3S9KYMZ",3,35,38,"N","Y"
"R19VRT3D5IXXX6",2,19,23,"N","Y"
"R3BGD0XFH8YQF8",1,100,117,"N","Y"
"R1V6NLSAI1Z6B9",5,18,21,"N","N"
"R1KFPL918O7A9J",5,21,22,"N","Y"
"R3H4XG619P5T2L",4,135,160,"N","N"
"R61L2343150TZ",5,26,27,"N","Y"
"R2K5US8S6R0VAJ",4,19,21,"N","Y"
"R1M6ULB24PO0BV",5,79,80,"N","Y"
"R21SJ1DKI8UI42",1,27,29,"N","Y"
"R1HZCUJ1J8URAY",1,40,45,"N","Y"
"R3K6J1BGQY1U18",4,27,31,"N","Y"
"R2FOEANU6ANIEF",5,249,262,"N","N"
"R1T8E23YHBVQ4I",5,38,39,"N","Y"
"R1CH2OKXLJ1TZR",5,27,30,"N","Y"
"R22ZQJ17D9SYU5",5,24,25,"N","Y"
"R10148TS5J8TSD",4,411,449,"N","Y"
"R9G32HEV3TPF3",2,87,96,"N","Y"
"R12I6ETQLHCH15",5,91,93,"N","Y"
"R2E6ICURY659LP",5,37,37,"N","Y"
"R326QV66CKBB43",4,127,139,"Y","N"
"R1KWPTIZIR7EYD",5,160,173,"N","Y"
